country,flag,map,tags,population
Angola,"<img src=""ug-flag-angola.svg"" />","<img src=""ug-map-angola.png"" />","UG::Africa, UG::Sovereign_State",33086278
Benin,"<img src=""ug-flag-benin.svg"" />","<img src=""ug-map-benin.png"" />","UG::Africa, UG::Sovereign_State, UG::West_Africa",12606998
Botswana,"<img src=""ug-flag-botswana.svg"" />","<img src=""ug-map-botswana.png"" />","UG::Africa, UG::Sovereign_State",2410338
Burkina Faso,"<img src=""ug-flag-burkina_faso.svg"" />","<img src=""ug-map-burkina_faso.png"" />","UG::Africa, UG::Sovereign_State, UG::West_Africa",22185654
Cameroon,"<img src=""ug-flag-cameroon.svg"" />","<img src=""ug-map-cameroon.png"" />","UG::Africa, UG::Sovereign_State",24348251
Burundi,"<img src=""ug-flag-burundi.svg"" />","<img src=""ug-map-burundi.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State",12837740
Cape Verde,"<img src=""ug-flag-cape_verde.svg"" />","<img src=""ug-map-cape_verde.png"" />","UG::Africa, UG::Sovereign_State, UG::West_Africa",569509
São Tomé and Príncipe,"<img src=""ug-flag-sao_tome_and_principe.svg"" />","<img src=""ug-map-sao_tome_and_principe.png"" />","UG::Africa, UG::Sovereign_State",214610
Central African Republic,"<img src=""ug-flag-central_african_republic.svg"" />","<img src=""ug-map-central_african_republic.png"" />","UG::Africa, UG::Sovereign_State",5633412
Chad,"<img src=""ug-flag-chad.svg"" />","<img src=""ug-map-chad.png"" />","UG::Africa, UG::Sovereign_State",16818391
Equatorial Guinea,"<img src=""ug-flag-equatorial_guinea.svg"" />","<img src=""ug-map-equatorial_guinea.png"" />","UG::Africa, UG::Sovereign_State",1558160
Kenya,"<img src=""ug-flag-kenya.svg"" />","<img src=""ug-map-kenya.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State",51526000
Comoros,"<img src=""ug-flag-comoros.svg"" />","<img src=""ug-map-comoros.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State",758316
Ivory Coast,"<img src=""ug-flag-ivory_coast.svg"" />","<img src=""ug-map-ivory_coast.png"" />","UG::Africa, UG::Sovereign_State, UG::West_Africa",29389150
Democratic Republic of the Congo,"<img src=""ug-flag-democratic_republic_of_the_congo.svg"" />","<img src=""ug-map-democratic_republic_of_the_congo.png"" />","UG::Africa, UG::Sovereign_State",95370000
Djibouti,"<img src=""ug-flag-djibouti.svg"" />","<img src=""ug-map-djibouti.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State",1001454
Guinea-Bissau,"<img src=""ug-flag-guinea-bissau.svg"" />","<img src=""ug-map-guinea-bissau.png"" />","UG::Africa, UG::Sovereign_State, UG::West_Africa",1781308
Eritrea,"<img src=""ug-flag-eritrea.svg"" />","<img src=""ug-map-eritrea.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State",3748902
Ethiopia,"<img src=""ug-flag-ethiopia.svg"" />","<img src=""ug-map-ethiopia.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State",105163988
Gabon,"<img src=""ug-flag-gabon.svg"" />","<img src=""ug-map-gabon.png"" />","UG::Africa, UG::Sovereign_State",2233272
The Gambia,"<img src=""ug-flag-the_gambia.svg"" />","<img src=""ug-map-the_gambia.png"" />","UG::Africa, UG::Sovereign_State, UG::West_Africa",2417471
Lesotho,"<img src=""ug-flag-lesotho.svg"" />","<img src=""ug-map-lesotho.png"" />","UG::Africa, UG::Sovereign_State",2306000
Liberia,"<img src=""ug-flag-liberia.svg"" />","<img src=""ug-map-liberia.png"" />","UG::Africa, UG::Sovereign_State, UG::West_Africa",4661010
Madagascar,"<img src=""ug-flag-madagascar.svg"" />","<img src=""ug-map-madagascar.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State",26923353
Malawi,"<img src=""ug-flag-malawi.svg"" />","<img src=""ug-map-malawi.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State",21507723
Mali,"<img src=""ug-flag-mali.svg"" />","<img src=""ug-map-mali.png"" />","UG::Africa, UG::Sovereign_State, UG::West_Africa",23293699
Mauritania,"<img src=""ug-flag-mauritania.svg"" />","<img src=""ug-map-mauritania.png"" />","UG::Africa, UG::Sovereign_State, UG::West_Africa",4372037
Mauritius,"<img src=""ug-flag-mauritius.svg"" />","<img src=""ug-map-mauritius.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State",1261196
Morocco,"<img src=""ug-flag-morocco.svg"" />","<img src=""ug-map-morocco.png"" />","UG::Africa, UG::Mediterranean, UG::Sovereign_State",37063000
Mozambique,"<img src=""ug-flag-mozambique.svg"" />","<img src=""ug-map-mozambique.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State",32419747
Namibia,"<img src=""ug-flag-namibia.svg"" />","<img src=""ug-map-namibia.png"" />","UG::Africa, UG::Sovereign_State",2641857
Niger,"<img src=""ug-flag-niger.svg"" />","<img src=""ug-map-niger.png"" />","UG::Africa, UG::Sovereign_State, UG::West_Africa",24112753
Nigeria,"<img src=""ug-flag-nigeria.svg"" />","<img src=""ug-map-nigeria.png"" />","UG::Africa, UG::Sovereign_State, UG::West_Africa",216783400
Republic of the Congo,"<img src=""ug-flag-republic_of_the_congo.svg"" />","<img src=""ug-map-republic_of_the_congo.png"" />","UG::Africa, UG::Sovereign_State",6106869
Rwanda,"<img src=""ug-flag-rwanda.svg"" />","<img src=""ug-map-rwanda.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State",13246394
Senegal,"<img src=""ug-flag-senegal.svg"" />","<img src=""ug-map-senegal.png"" />","UG::Africa, UG::Sovereign_State, UG::West_Africa",17223497
Seychelles,"<img src=""ug-flag-seychelles.svg"" />","<img src=""ug-map-seychelles.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State",100447
Sierra Leone,"<img src=""ug-flag-sierra_leone.svg"" />","<img src=""ug-map-sierra_leone.png"" />","UG::Africa, UG::Sovereign_State, UG::West_Africa",8494260
South Africa,"<img src=""ug-flag-south_africa.svg"" />","<img src=""ug-map-south_africa.png"" />","UG::Africa, UG::Sovereign_State",60604992
Sudan,"<img src=""ug-flag-sudan.svg"" />","<img src=""ug-map-sudan.png"" />","UG::Africa, UG::Sovereign_State",41984500
Eswatini,"<img src=""ug-flag-eswatini.svg"" />","<img src=""ug-map-eswatini.png"" />","UG::Africa, UG::Sovereign_State",1223362
Tanzania,"<img src=""ug-flag-tanzania.svg"" />","<img src=""ug-map-tanzania.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State",61741120
Togo,"<img src=""ug-flag-togo.svg"" />","<img src=""ug-map-togo.png"" />","UG::Africa, UG::Sovereign_State, UG::West_Africa",8095498
Tunisia,"<img src=""ug-flag-tunisia.svg"" />","<img src=""ug-map-tunisia.png"" />","UG::Africa, UG::Mediterranean, UG::Sovereign_State",11803588
Uganda,"<img src=""ug-flag-uganda.svg"" />","<img src=""ug-map-uganda.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State",42885900
Sahrawi Arab Democratic Republic,"<img src=""ug-flag-sahrawi_arab_democratic_republic.svg"" />","<img src=""ug-map-sahrawi_arab_democratic_republic.png"" />","UG::Africa, UG::Sovereign_State",612000
Zambia,"<img src=""ug-flag-zambia.svg"" />","<img src=""ug-map-zambia.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State",19610769
Zimbabwe,"<img src=""ug-flag-zimbabwe.svg"" />","<img src=""ug-map-zimbabwe.png"" />","UG::Africa, UG::East_Africa, UG::Sovereign_State",15178979
Canary Islands,,"<img src=""ug-map-canary_islands.png"" />",UG::Africa,2172944
Afghanistan,"<img src=""ug-flag-afghanistan.svg"" />","<img src=""ug-map-afghanistan.png"" />","UG::Asia, UG::Sovereign_State",34262840
Bahrain,"<img src=""ug-flag-bahrain.svg"" />","<img src=""ug-map-bahrain.png"" />","UG::Asia, UG::Middle_East, UG::Sovereign_State",1504365
Bangladesh,"<img src=""ug-flag-bangladesh.svg"" />","<img src=""ug-map-bangladesh.png"" />","UG::Asia, UG::Sovereign_State",169828911
Bhutan,"<img src=""ug-flag-bhutan.svg"" />","<img src=""ug-map-bhutan.png"" />","UG::Asia, UG::Sovereign_State",763200
Brunei,"<img src=""ug-flag-brunei.svg"" />","<img src=""ug-map-brunei.png"" />","UG::Asia, UG::Southeast_Asia, UG::Sovereign_State",440715
China,"<img src=""ug-flag-china.svg"" />","<img src=""ug-map-china.png"" />","UG::Asia, UG::Sovereign_State",1411750000
Cambodia,"<img src=""ug-flag-cambodia.svg"" />","<img src=""ug-map-cambodia.png"" />","UG::Asia, UG::Southeast_Asia, UG::Sovereign_State",15552211
Indonesia,"<img src=""ug-flag-indonesia.svg"" />","<img src=""ug-map-indonesia.png"" />","UG::Asia, UG::Southeast_Asia, UG::Sovereign_State",277749853
India,"<img src=""ug-flag-india.svg"" />","<img src=""ug-map-india.png"" />","UG::Asia, UG::Sovereign_State",1392329000
Hong Kong,"<img src=""ug-flag-hong_kong.svg"" />","<img src=""ug-map-hong_kong.png"" />",UG::Asia,7333200
Iran,"<img src=""ug-flag-iran.svg"" />","<img src=""ug-map-iran.png"" />","UG::Asia, UG::Middle_East, UG::Sovereign_State",85207200
Israel,"<img src=""ug-flag-israel.svg"" />","<img src=""ug-map-israel.png"" />","UG::Asia, UG::Mediterranean, UG::Middle_East, UG::Sovereign_State",9756300
Iraq,"<img src=""ug-flag-iraq.svg"" />","<img src=""ug-map-iraq.png"" />","UG::Asia, UG::Middle_East, UG::Sovereign_State",43324000
South Korea,"<img src=""ug-flag-south_korea.svg"" />","<img src=""ug-map-south_korea.png"" />","UG::Asia, UG::Sovereign_State",51439038
North Korea,"<img src=""ug-flag-north_korea.svg"" />","<img src=""ug-map-north_korea.png"" />","UG::Asia, UG::Sovereign_State",25660000
Jordan,"<img src=""ug-flag-jordan.svg"" />","<img src=""ug-map-jordan.png"" />","UG::Asia, UG::Middle_East, UG::Sovereign_State",11451900
Japan,"<img src=""ug-flag-japan.svg"" />","<img src=""ug-map-japan.png"" />","UG::Asia, UG::Sovereign_State",124560000
Lebanon,"<img src=""ug-flag-lebanon.svg"" />","<img src=""ug-map-lebanon.png"" />","UG::Asia, UG::Mediterranean, UG::Middle_East, UG::Sovereign_State",5490000
Laos,"<img src=""ug-flag-laos.svg"" />","<img src=""ug-map-laos.png"" />","UG::Asia, UG::Southeast_Asia, UG::Sovereign_State",7337783
Kyrgyzstan,"<img src=""ug-flag-kyrgyzstan.svg"" />","<img src=""ug-map-kyrgyzstan.png"" />","UG::Asia, UG::Sovereign_State",7100000
Kuwait,"<img src=""ug-flag-kuwait.svg"" />","<img src=""ug-map-kuwait.png"" />","UG::Asia, UG::Middle_East, UG::Sovereign_State",4670713
Myanmar,"<img src=""ug-flag-myanmar.svg"" />","<img src=""ug-map-myanmar.png"" />","UG::Asia, UG::Southeast_Asia, UG::Sovereign_State",55770232
Mongolia,"<img src=""ug-flag-mongolia.svg"" />","<img src=""ug-map-mongolia.png"" />","UG::Asia, UG::Sovereign_State",3457548
Maldives,"<img src=""ug-flag-maldives.svg"" />","<img src=""ug-map-maldives.png"" />","UG::Asia, UG::Sovereign_State",397372
Malaysia,"<img src=""ug-flag-malaysia.svg"" />","<img src=""ug-map-malaysia.png"" />","UG::Asia, UG::Southeast_Asia, UG::Sovereign_State",32703700
Oman,"<img src=""ug-flag-oman.svg"" />","<img src=""ug-map-oman.png"" />","UG::Asia, UG::Middle_East, UG::Sovereign_State",5079514
Nepal,"<img src=""ug-flag-nepal-nobox.svg"" />","<img src=""ug-map-nepal.png"" />","UG::Asia, UG::Sovereign_State",29164578
Palestine,"<img src=""ug-flag-palestine.svg"" />","<img src=""ug-map-palestine.png"" />","UG::Asia, UG::Mediterranean, UG::Middle_East, UG::Sovereign_State",5483450
Pakistan,"<img src=""ug-flag-pakistan.svg"" />","<img src=""ug-map-pakistan.png"" />","UG::Asia, UG::Sovereign_State",220425254
Qatar,"<img src=""ug-flag-qatar.svg"" />","<img src=""ug-map-qatar.png"" />","UG::Asia, UG::Middle_East, UG::Sovereign_State",3005069
Saudi Arabia,"<img src=""ug-flag-saudi_arabia.svg"" />","<img src=""ug-map-saudi_arabia.png"" />","UG::Asia, UG::Middle_East, UG::Sovereign_State",32175224
Singapore,"<img src=""ug-flag-singapore.svg"" />","<img src=""ug-map-singapore.png"" />","UG::Asia, UG::Southeast_Asia, UG::Sovereign_State",5453600
Syria,"<img src=""ug-flag-syria.svg"" />","<img src=""ug-map-syria.png"" />","UG::Asia, UG::Mediterranean, UG::Middle_East, UG::Sovereign_State",22923000
Taiwan,"<img src=""ug-flag-taiwan.svg"" />","<img src=""ug-map-taiwan.png"" />","UG::Asia, UG::Sovereign_State",23373283
Sri Lanka,"<img src=""ug-flag-sri_lanka.svg"" />","<img src=""ug-map-sri_lanka.png"" />","UG::Asia, UG::Sovereign_State",22181000
Tajikistan,"<img src=""ug-flag-tajikistan.svg"" />","<img src=""ug-map-tajikistan.png"" />","UG::Asia, UG::Sovereign_State",10077600
